title,show_id,type,director,cast,country,release_year,rating,duration,listed_in,description,platform
Mad About You,s1782,TV Show,Sin Dato,"Paul Reiser, Helen Hunt, John Pankow, Richard Kind, Abby Quinn, Kecia Lewis, Anne Ramsay",,2019,TV-PG,1,Comedy,"A revival of the 1990s sitcom, Mad About You centers on the trials and tribulations of a married couple living in New York.",amazon
"Luis, el sabio del éxito",s1787,TV Show,Sin Dato,Luis Aragones,,2018,TV-NR,1,Documentary,"""Luis, el sabio del éxito"" reviews, with unpublished footage, the triumph of Spain in the UEFA Euro 2008, with Luis Aragonés as key protagonist.",amazon
Love of Thousand Years,s1801,TV Show,Sin Dato,"Zheng Yecheng, Zhao Lusi, Wang Mengli, Liu Yitong",,2020,16+,1,"Drama, Romance","Di Ji is a princess from a vanquished nation. After her country vanishes, she changes her name to Tang Chuan (Zhao Lu Si) and becomes a servant in Xiang Qu Mountain. She meets Fu Jiu Yun (Zheng Ye Cheng), and they fall in love with each other. In order to save the world from suffering, they try to find an ancient lamp. It turns out that Fu Jiu Yun has to sacrifice himself to activate the magic.",amazon
Love and Redemption,s1804,TV Show,Sin Dato,"Cheng Yi, Yuan BingYan, Liu XueYi",,2020,13+,1,"Drama, Romance","Xuanji and Sifeng, Linglong, and Minyan formed a deep friendship, and Sifeng got feelings on Xuanji. However, Si Feng had to wear the ""Lover's Curse"" mask for Xuanji's violation of Lize Palace's gate rules, and vowed that he would never love anyone again, otherwise he would trigger the Lover's Curse three times and die. Can they strive together against their fate and stay happily ever after?",amazon
Love and Marriage,s1805,TV Show,Sin Dato,"Alison Steadman, Stewart Wright, Ashley Jensen, Graeme Hawley, Zoe Telford, Celia Imrie, Niky Wardley, Duncan Preston, James McArdle, Larry Lamb, Bruce Alexander, Jessica Sula, John Heffernan",,2013,13+,1,"Comedy, Drama","When Pauline Paradise decides that she has had enough of her immediate family, she decides to move in with her sister, who has a decidedly more unconventional life.",amazon
LOVE and LIES,s1806,TV Show,Sin Dato,,,2017,TV-14,1,"Anime, Drama, International","In order to increase birth rates, Japan implements a capability calculation that assigns partners to young people when they turn 16. Yukari Nejima confess to his childhood crush Misaki Tazaki, only to find out he has been assigned to Ririna Sanada.",amazon
Lots & Lots of Fire Trucks,s1810,TV Show,Sin Dato,James Coffey,,2004,ALL,1,Special Interest,"Kids who love fire trucks and fire fighting heroes will love these amazing non-stop fire truck action videos. This Award-winning, ""Lots & Lots of"" fire truck series brings you racing red fire engines, giant pumper trucks, hook n' ladders, rescue rigs, super soakers, a firehouse trip, fire safety tips, fire fighters putting out fires, and more!",amazon
Lost In Oz,s1811,TV Show,Sin Dato,"Ashley Boettcher, Alexander Polinsky, Grey Griffin, Keith Ferguson, Kath Soucie, Stephen Stanton, Jorge Diaz, Chris Cox, Nika Futterman","United Kingdom, Canada, United States",2018,ALL,2,Kids,"13 new episodes of the multi-Emmy Award-Winning series LOST IN OZ take Dorothy, Toto, and their friends to new, magical, and perilous lands, as well as some surprisingly familiar worlds. They'll make new friends, face new enemies, and reunite with loved ones from Emerald City and beyond!",amazon
Lorena,s1815,TV Show,Sin Dato,,,2019,16+,1,Documentary,"From Executive Producer Jordan Peele, this four-part docuseries investigates the events of 1993, where Lorena Bobbitt sliced off her husband’s penis after years of abuse. John and Lorena Bobbitt’s stories exploded into a 24-hour news cycle. She became a national joke, her suffering ignored by the male-dominated press. But as John spiraled downward, Lorena found strength in the scars of her ordeal.",amazon
Lore,s1816,TV Show,Sin Dato,,,2018,16+,2,"Drama, Horror","Season 2 of Lore marks a deeper dive into the surprising characters and real-life stories behind some of the world's historical atrocities. Ranging from the Middle Ages to the Age of Rockets, Lore 2 explores the motivations of the damned and the bloody and far-reaching aftermath of that damnation.",amazon
Looped,s1818,TV Show,Sin Dato,,,2016,TV-Y,2,Kids,"Ever wish you had a RE-DO button, or knew you were having a pop-quiz before it popped?",amazon
Look,s1819,TV Show,Sin Dato,"Colton Haynes, Ali Corbin",,2010,18+,1,Drama,"Follows several interweaving story lines over the course of a week in Los Angeles, some including characters carried over from the original film, others featuring actors from the film returning as different characters.",amazon
London Hospital,s1822,TV Show,Sin Dato,"Sarah Smart, Tom Riley",,2008,TV-14,1,Drama,"Romance, surgery and history combine in this vivid, atmospheric drama based on the lives and case notes of doctors, nurses and patients at the Royal London Hospital a century ago.",amazon
LoliRock,s1823,TV Show,Sin Dato,"Kazumi Evans, Kelly Sheridan, Vincent Tong, Ashleigh Ball, Tabitha St. Germain, Mackenzie Gray, Matt Ellis","South Korea, France",2017,7+,2,"Animation, Kids",A teenager with a beautiful voice becomes a pop star but discovers she has powers that come from a magical realm where she's a lost princess.,amazon
LOL: Last One Laughing,s1826,TV Show,Sin Dato,"Eugenio Derbez, Alex Fernández, Bárbara Torres, El Capi Pérez, El Diablito, Gustavo Mungía, Iván La Mole, Kikis, Ricardo O´Farrill, Slobotzky, Verónica Toussaint",,2019,16+,2,Comedy,"Eugenio Derbez kicks off the exciting second season of LOL with a new cast of contenders. Lots of changes and pressure is on, as the battle to keep a straight face and win the million pesos begins.",amazon
LOL: Australia,s1827,TV Show,Sin Dato,"Rebel Wilson, Joel Creasey, Frank Woodley, Anne Edmonds, Becky Lucas, Nick Cody, Nazeem Hussain, Dilruk Jayasinha, Susie Youssef, Sam Simmons, Ed Kavalee",,2020,16+,1,"Comedy, International, Special Interest","Hosted by Rebel Wilson, 10 of Australia’s finest comedians battle it out to see who can keep a straight face while simultaneously trying to make their opponents laugh. Comedians who laugh will be eliminated one-by-one, until a single comedian remains. With $100,000 on the line, who will Rebel crown the Last One Laughing?.",amazon
LOL Surprise! Winter Disco,s1828,TV Show,Sin Dato,"Tahani Anderson, Mykal-Michelle Harris",,2019,ALL,1,Kids,"Tahani and Mykal-Michelle are stuck inside their house during a snowstorm with no lights or internet! So, Tahani tells a story that takes us into the world of LOL Surprise, where everyone is preparing for the coolest party ever: The Winter Disco! When Midnight is the only B.B. not invited to perform at The Chalet, she embarks on a journey to sabotage the party, and change the Winter Disco forever!",amazon
Little Women: NY,s1836,TV Show,Sin Dato,"Lila Call, Misty Irwin",,2016,TV-14,2,TV Shows,"In each hour-long episode of Little Women: NY we'll follow the adventures of a whole new group of outrageous little women living in the Big Apple. These ladies have big hearts, big minds and even bigger personalities, they just happen to be little in stature.",amazon
Little Women: LA,s1837,TV Show,Sin Dato,"Tonya Reneé Banks, Terra Jole",United States,2016,TV-14,4,Unscripted,"In Little Women: LA Season 4, relationships between cast members are more volatile than ever. Preston and Elena find themselves back in LA but are at odds over Elena's preoccupation with launching her fashion line and DIY makeup tutorials. Meanwhile, Tonya and Jasmine continue their on-again, off-again friendship.",amazon
Little Women: Dallas,s1838,TV Show,Sin Dato,"Steve Helling, Bri Barlup",,2017,TV-14,2,TV Shows,"Little Women: Dallas follows Bri Barlup and Emily Fernandez as they move on from hard times in Atlanta to shake things up with a whole group of new little ladies in the Lone Star State who prove that although not everything is bigger in Texas, the drama certainly is.",amazon
Little Men,s1841,TV Show,Ira Sachs,"Michelle Rene Thomas, Spencer Rochfort, Rachel Skarsten, Corey Sevier","United States, Greece, Brazil",1999,TV-G,2,"Drama, Historical","Set in rural Massachusetts, the series chronicles the heroic struggles of Jo Bhaer as she attempts to manage Plumfield, a boarding school for boys, after the tragic death of her husband Fritz. Based upon Louisa May Alcott's classic sequel to Little Women.",amazon
Little Dorrit,s1842,TV Show,Sin Dato,"Claire Foy, Matthew Macfadyen, Tom Courtenay, Andy Serkis, Eddie Marsan",,2008,TV-PG,1,"Drama, Historical","This gripping series by Andrew Davies brings to life Dickens's powerful story of struggle and hardship in 1820s London. When Arthur Clennam returns to England after many years abroad, his curiosity is piqued by the presence in his mother's house of a young seamstress, Amy Dorrit. Where will Arthur's quest to discover the truth leave him in the scheme of things? And where will it leave the Dorrits?",amazon
Little Coincidences,s1843,TV Show,Sin Dato,"Marta Hazas, Javier Veiga, Mariano Peña, Juan Ibáñez, Alicia Rubio, Iván Sánchez, José Troncoso, Tomás Pozzi, Xosé A. Touriñán, Juan López-Tagle, Sabrina Praga, Erdem Tsydypov, Lucía Balas, Álvaro Balas, Ana Gracia",,2021,7+,3,Comedy,"Marta and Javi are going to have a child, but many things are coming between them... An ocean for one as Marta is in Mexico and Javi – a minor detail – married someone else. If ‘fate’ has something in store for them, it would seem to be that they will not be together. In this final season they must decide whether or not to challenge what fortune has mapped out for them.",amazon
Little Big Awesome,s1845,TV Show,Sin Dato,"Fred Tatasciore, Jessica McKenna, Weird Al Yankovic, Aimee Mann, Kate Micucci, Dana Snyder, Ennis Esmer, Lennon Parham, Roger L. Jackson, Betsy Sodaro, Lonny Ross, Jon Luke Thomas, Kat Palardy",United States,2018,ALL,2,Kids,"Little Big Awesome follows Gluko and Lennon, the two best friends ever of all time in the history of everything.  While having weird and wonderful adventures around Townopolis, these besties help the citizens live their best lives, even if helping sometimes causes more problems than it solves.",amazon
Lights Out!,s1856,TV Show,Sin Dato,,,2012,TV-PG,1,"Documentary, Special Interest","Our planet is lit up 24 hours a day, 7 days a week. We're addicted to light and we just can't get enough of it But like anything else that's addictive, could too much be a bad thing?",amazon
Lights of the Clione,s1857,TV Show,Sin Dato,"Sayuri Matsumura, Shunya Ohira, Natsuko Hara, Rico Sasaki, Riho Iida, Aina Suzuki, Akari Kageyama, Yuki Fujita, Misaki Ohashi, Moa Tsukino, Kana Aoi",,2017,TV-NR,1,TV Shows,"Minori has always been the subject of the bullies' torture. One rainy day, Takashi and Kyoko call out to her, wanting to see her smile, but Minori’s health deteriorates soon after, and she stops coming to school without ever smiling. Two months later, Takashi and Kyoto receive an anonymous text message telling them of a summer festival the next town over...",amazon
Life with Elizabeth,s1862,TV Show,Sin Dato,"Betty White, Del Moore, Jack Narz, Dick Garton",,1954,13+,1,Comedy,"Revisit this fun-loving series as Elizabeth and Alvin face myriad predicaments, with laughter to spare. Betty White stars as Elizabeth, newlywed wife of Alvin, played by Del Moore. The skits, or ""incidents,"" in each episode, were based on sketches from White's Talk Show ""Hollywood on Television.""",amazon
Life on Fire: Wildlife on the Volcano's Edge,s1863,TV Show,Sin Dato,,,2013,TV-G,1,"Documentary, Special Interest","Volcanoes are among the most spectacular and powerful forces on our planet. They create new land, change landscapes and destroy civilizations, but more than two billion years ago, they also breathed life into our world. From the ocean abyss to snow-covered summits, this ambitious series paints a detailed picture of the struggles and amazing intimacy required to survive around volcanoes.",amazon
Life of Muhammad,s1864,TV Show,Sin Dato,,,2013,TV-PG,1,"Documentary, Faith and Spirituality, Special Interest","This is the story of a man who changed the world forever. In a journey that is both literal and historical, retrace the footsteps of the Prophet, from his humble beginnings in Mecca to his struggles with accepting his Prophetic role; from his flight to Medina to his subsequent military and political successes and failures-through to his death and his legacy.",amazon
Life in Pieces,s1866,TV Show,Sin Dato,"Colin Hanks, Betsy Brandt, Thomas Sadoski",United States,2019,TV-14,4,TV Shows,"In the hilarious fourth season of Life In Pieces, the Short/Hughes family prepares for one (or two) new members, and we follow three generations through ups, downs, milestones and mishaps!",amazon
Life In A Tide Pool,s1869,TV Show,Sin Dato,"Danielle Zacher, Bruno Pernet, Jay Smith, Mike Schaadt, Kasey Eunice",,2015,ALL,1,"Documentary, Special Interest",The series Life in a Tide Pool explores the fascinating world of tide pools. Tide pools occur in rocky locations where the ocean meets the land. This zone is covered by water and exposed to air periodically throughout the day. The series explores the types of marine life that live in this harsh environment and looks at how these animals can survive.,amazon
Let's Learn Chinese,s1875,TV Show,Sin Dato,,,2017,TV-Y,1,"Animation, International, Kids",Learn simple words in Chinese and English,amazon
Leo The Wildlife Ranger,s1878,TV Show,Sin Dato,"Su-Ping Chio, Hillary Blazer-Doyle, Joe Murray",,2015,ALL,1,"Animation, Kids",Join Junior Rangers Leo and Katie and their loyal companion Hero on adventures with exotic animals from all over the world!,amazon
LEGO City Adventures,s1880,TV Show,Sin Dato,Joe Zieja,,2019,TV-Y7,1,"Action, Animation, Kids","LEGO® City Adventures is a brand new character-driven series, presenting funny, smart, kinetic slices of city life that explore the hopes, dreams, goals, stories - and adventures",amazon
Legendary Cities,s1881,TV Show,Sin Dato,,,2014,7+,1,TV Shows,"A spectacular documentary series looking at the most beautiful cities in the world. These majestic cities share much in common: artistic history, stunning architecture and a rich historic, cultural and literary heritage. Each episode is a journey to the heart of one legendary city. We immerse ourselves in their golden age, profiling these cities from inside out.",amazon
Legend of the Superstition Mountains,s1883,TV Show,Sin Dato,Frank Augustine,,2015,TV-PG,1,TV Shows,"In ""Legend of the Superstition Mountains,"" Wayne Tuttle is partnering with a team of experts to follow a newly revealed clue that could finally solve the 500-year-old mystery of America's most famous and deadliest buried treasure: the Lost Dutchman gold mine.",amazon
Legend of Fuyao,s1884,TV Show,Sin Dato,"Yang Mi, Ethan Juan, Zhang Dongshen, Hu Ke",,2018,18+,1,"Drama, Romance","Meng Fuyao is a master of the invincible Po Jiu Xiao fighting technique. Born out of a divine lotus flower, Fuyao has been raised by an ancient sect. On her journey, Fuyao meets Wuji Zhang Sun, the crown prince of the Wuji Kingdom, and Zhan Bei Ye, the prince of Tiansha, both of them are drawn to Fuyau and she would get caught in their competition for both power and her affection.",amazon
Legend of Bruce Lee,s1885,TV Show,Sin Dato,"Danny Chan, Michael Jai White, Ray Park, Michelle Lang",,2008,TV-NR,1,"Action, Adventure, International","Targeted by street gangs, the young and talented martial artist Bruce Lee (Danny Chan, IP MAN 3) is forced to leave Hong Kong for America, where his fiery character and kung fu feats will become the stuff of legends.",amazon
Learn with Ted The Train,s1890,TV Show,Sin Dato,,,2017,ALL,1,"Animation, Kids, Special Interest","Ted the Train is a good friend of Dino the Dinosaur and Ethan the Dumpt Truck. Learn the colors, the numbers or the shapes with Ted the Train. It is better to learn with fun!! That is why Ted is here!!",amazon
Le Mans: Racing is Everything,s1897,TV Show,Sin Dato,,,2017,16+,1,"Documentary, Sports","The 24 Hours of Le Mans is a motor race like no other. Taking place in France each year, it is an endurance test for drivers and cars that literally takes 24 hours to complete. Traveling from Kuala Lumpur to the Côte D’Azur, shot in breathtaking 4K and with unprecedented access to six of the teams competing for glory, Le Mans: Racing is Everything is motorsport as you’ve never seen it before.",amazon
Lano & Woodley: Fly,s1901,TV Show,Sin Dato,"Colin Lane, Frank Woodley",,2020,16+,1,"Comedy, Talk Show and Variety","Australia’s favourite double act Colin Lane and Frank Woodley have reunited to create the comeback masterpiece FLY. No more stupid silly nonsense, it’s time to make THEATRE! An epic show about the history of aviation, no less. There is no reason whatsoever to think this will go as planned.",amazon
Land of the Lustrous,s1903,TV Show,Sin Dato,,,2017,TV-14,1,"Action, Adventure, Anime","Phos, the youngest Houseki, must create an encyclopedia of natural history in a risky world where Moon Dwellers hunt their kind.",amazon
Ladyboys: Inside Thailand's Third Gender,s1906,TV Show,Sin Dato,,,2014,18+,1,"Documentary, International","The lure of Thailand's Ladyboys is so strong that many men will leave behind everything and everyone they know to be with them. This fascinating series follows two expats, Scott and David, and their ladyboy loves. Scott moves to Thailand to join his fiancé, Paeng, after a three year long-distance relationship. David introduces his ladyboy girlfriend, Annie, to his son and insists he is straight.",amazon
Labyrinth,s1911,TV Show,Jim Henson,"John Hurt, Tom Felton, Vanessa Kirby, Jessica Brown Findlay","United Kingdom, United States",2014,TV-14,1,Science Fiction,"Dangerous passions are unleashed in this hot-blooded adventure that begins in medieval France, as a 17-year-old girl named Alais receives a mysterious book from her father. Eight hundred years later, in the same town, a young woman named Alice unearths a labyrinth-engraved ring-and is swept into an epic journey that will crisscross centuries and reveal a destiny beyond her wildest imaginings...",amazon
Laakhon Mein Ek (Telugu),s1913,TV Show,Sin Dato,"Shweta Tripathi Sharma, Sandeep Mehta, Suyash Joshi, Arun Nalawade, Rupesh Tillu",,2019,TV-NR,2,"Comedy, Drama","Dr Shreya is posted in Sitlapur village to conduct a cataract camp. But the villagers aren't the biggest believers in Government healthcare, the supplies aren't separate from the politics, and the staff isn't the dream team one would desire. Dr Shreya keeps fighting the system, but the question remains whether she will change the system or will the system change her?",amazon
Laakhon Mein Ek (Tamil),s1914,TV Show,Sin Dato,"Shweta Tripathi Sharma, Sandeep Mehta, Suyash Joshi, Arun Nalawade, Rupesh Tillu",,2019,TV-NR,2,"Comedy, Drama","Dr Shreya is posted in Sitlapur village to conduct a cataract camp. But the villagers aren't the biggest believers in Government healthcare, the supplies aren't separate from the politics, and the staff isn't the dream team one would desire. Dr Shreya keeps fighting the system, but the question remains whether she will change the system or will the system change her?",amazon
Laakhon Mein Ek,s1915,TV Show,Sin Dato,"Shweta Tripathi Sharma, Sandeep Mehta, Suyash Joshi, Arun Nalawade, Rupesh Tillu",,2019,TV-NR,2,TV Shows,"Dr Shreya is posted in Sitlapur village to conduct a cataract camp. But the villagers aren't the biggest believers in Government healthcare, the supplies aren't separate from the politics, and the staff isn't the dream team one would desire. Dr Shreya keeps fighting the system, but the question remains whether she will change the system or will the system change her?",amazon
La Usurpadora,s1916,TV Show,Sin Dato,"Sandra Echeverría, Arap Bethke, Andrés Palacios, Daniela Schmidt, Aurora Gil, Juan Carlos Barreto, Ana Bertha Espín, Queta Lavat, Germán Bracco, Macarena Oz, Monserrath Marañón, Verónica Terán, Emilio Guerrero, Josh Gutiérrez",,2019,16+,1,TV Shows,"After she finds out about the existence of her identical twin, Paola Miranda forces Paulina Doria to assume her identity, with the sole purpose of killing her and in this way, faking her own death, start a new life together with her lover.",amazon
L.A. Burning: The Riots 25 Years Later,s1917,TV Show,Sin Dato,"George Holliday, John Singleton",,2017,TV-14,1,TV Shows,An original two-hour documentary marking the 25th anniversary of the infamous L.A. riots that reexamines the intense and life-changing events through the eyes of those who lived it.,amazon
Kung Fu Panda: The Paws of Destiny,s1919,TV Show,Sin Dato,"Gunnar Sizemore, Haley Tju, Chrissy Metz, Makana Say, James Hong, Mick Wingert, Laya DeLeonHayes",United States,2019,7+,2,Kids,"Now famously known as the Four Constellations the panda kids are summoned by the Emperor to the Forbidden City, making Po fear the kids might not need his teachings anymore. But when friends turn to foes, all our heroes will need to draw from their Chi and all their Kung Fu knowledge to defeat evil in an explosive and epic battle.",amazon
Kung Food,s1920,TV Show,Sin Dato,,,2011,7+,1,Kids,"Come aboard the Steamer, a magical ship with a lovable crew of chefs, from brave Bao and Choi to lazy Mr. Twi, on a high-seas adventure! From crime-fighting Sushi men, to mighty Electric Eels, to magical castles in the sky, the ""Kung Food"" gang is heading off on a trip of fun and laughs that you'll never forget!",amazon
Kristal Clear,s1924,TV Show,Sin Dato,"Melanie Leishman, Samantha Wan, Emmanuel Kabongo, Alexandre Côté, Becky Wright, Kelsey MacDermaid, Andrea Drepaul, Jazmin Tonner",,2018,13+,1,TV Shows,"Kristal Hasting is a young YouTube influencer and beauty vlogger. She's fun, charming, resourceful, and all about keeping up appearances. Kristal is estranged from her identical twin sister, Kyle, a brilliant PhD student and budding young physicist. Kyle is dry and sarcastic and isn't afraid to call Kristal on her BS. Though it's like looking in a mirror, they couldn't be more different.",amazon
Kratts' Creatures,s1925,TV Show,Sin Dato,,,1996,TV-Y,1,"Documentary, Kids","Brothers Martin and Chris Kratt mix wildlife documentary, creative animation and humorous dialogue to present a program about all kinds of wild creatures. They are assisted at their research center by nature enthusiast Allison, and a wise-cracking, animated cartoon friend named Ttark.",amazon
KOKKOKU,s1926,TV Show,Sin Dato,"Chika Anzai, Asami Seto, Kazuhiro Yamaji, Koji Tsujitani, Ryuto Iwata",,2018,TV-NR,1,TV Shows,"It’s 6:59 forever…The members of the Yukawa family inherit Stasis Spell, the power to stop time.They are able to enter the Stasis, a world where everything has stopped, when they use their power.One day, Juri’s nephew and brother get kidnapped. In order to rescue them, Grandpa uses Stasis spell, but they get suddenly attacked by other people who are still able to move in the Stasis world.",amazon
Knock Knock Ghost,s1930,TV Show,Sin Dato,,,2018,16+,2,TV Shows,Knock Knock Ghost is back for Season 2.,amazon
King Gary,s1933,TV Show,Sin Dato,"Gary King, Terri King, Teddy King, Chloe Ferdinando, Darren Ferdinando, Denise King, Big Gary King",,2020,TV-PG,1,Comedy,"Our story follows childhood sweethearts Gary and Terri King and their aspirations to achieve social acceptance and moderate material success in competitive suburbia. This, accompanied by drama queen Gary's constant strive to impress his prehistoric old school Dad Big Gary and attempt to fill his big boots, equals a massive 'try-hard' douchebag.",amazon
Kimchi Chronicles,s1936,TV Show,Sin Dato,"Hugh Jackman, Jean-Georges Vongerichten, Marja Vongerichten",,2020,7+,1,"Documentary, Special Interest","Join chef Jean-Georges Vongerichten and his Korean-born wife Marja on Kimchi Chronicles - part travelogue, part food fantasy and part documentary of self-discovery - as they explore and celebrate a cuisine and a culture committed to the age-old practice of taking something ordinary and making it extraordinary. Marja and Jean-Georges eat their way through Korea in the company of chefs and cooks.",amazon
KILLING BITES,s1939,TV Show,Sin Dato,"Sora Amamiya, Wataru Hatano, Maaya Uchida, Sumire Uesaka, Rikiya Koyama",,2018,TV-NR,1,TV Shows,"Yuya Nomoto, an ordinary college student, met a mysterious high-school student called Hitomi. At a deserted landfill, he saw her transform into a beast and fight a Leo monster. They're Brutes who have brains of humans and fangs of beasts. Hitomi is a Ratel, a Brute with the strongest killer instinct. Nomoto gets involved in their battles called Killing Bites.",amazon
Killer Mysteries,s1940,TV Show,Sin Dato,Owen Thomas,,2018,TV-MA,1,"Documentary, Suspense","Killer Mysteries investigates the world's most notorious murders and takes you inside the minds of the killers. Expert investigators review evidence, profile each killer's behavior, and describe the chilling forensic details of each case.",amazon
Killer IQ: Lion vs. Hyena,s1941,TV Show,Sin Dato,,,2015,TV-PG,1,Special Interest,"Enter a field lab like no other, as we give Africa's top predators, lions and hyenas, a remarkable IQ test.",amazon
Kids Behind Bars: Life or Parole,s1947,TV Show,Sin Dato,Max Watchel,United States,2019,TV-14,1,TV Shows,"Kids Behind Bars: Life or Parole tells the individual stories of eight previously convicted child offenders sentenced to mandatory life terms, without parole, who are now seeking resentencing on the heels of a recent United States Supreme Court ruling.",amazon
Kidnapping,s1948,TV Show,Sin Dato,"Jessica Kehayias, Aketza Lopez, Dennis Mencia",,2017,16+,1,TV Shows,Based on true kidnapping cases. A woman tells the experience that she lived when she was hired to cook in a house where they had several people abducted. This moving story show us the horror she had to go through when she was forced to work for the kidnappers and how she finally escaped from that nightmare.,amazon
KenIchi: The Mightiest Disciple (English Dub),s1958,TV Show,Sin Dato,"Josh Grelle, Carrie Savage",,2007,13+,4,"Action, Animation, Anime","Wishing to protect the things he loves and determined to have the strength to face the increasing adversity, KenIchi must learn various martial arts from the dojo's resident masters, taking Karate, Muay Thai, Ju Jitsu and Chinese Martial Arts and combining them to create his own fighting style!",amazon
Kemurikusa.,s1959,TV Show,Sin Dato,,,2019,TV-NR,1,TV Shows,"A story about three sisters struggling to survive in a desolate world surrounded by decaying buildings and red fog. The story revolves around Rin, a girl with an updo. There's also Ritsu, the big sister who has cat ears and is always calm, and Rina, the innocent, cheerful one dressed in a maid's costume. Just what is it that these sisters are after in this mysterious world?",amazon
Kashmir The Story,s1963,TV Show,Sin Dato,,,2018,13+,1,TV Shows,"Kashmir The Story is a documentary which gives an insight into the conflict-ridden region, showcasing facts as they are. The purely observational piece of storytelling is an honest attempt to showcase life in the valley.",amazon
Karakuri Circus,s1965,TV Show,Sin Dato,"Saiga Masaru:Chihiro Ueda, Narumi Kato:Rikiya Koyama, Shirogane Saiga:Megumi Hayashibara, Eiryo Ashihana:Takahiro Sakurai, Guy Christophe Rech:Nozomu Sasaki",,2019,TV-NR,1,TV Shows,"After inheriting the family fortune, eleven-year-old Masaru Saiga is targeted by kidnappers armed with bizarre and deadly puppets. He escapes once aided by circus employee Narumi Kato, but the kidnappers soon catch up with them. Just when all seems lost, the two are saved by the mysterious Shirogane who wields her own marionette. From then on, the trio’s fates become inexorably intertwined...",amazon
Kaijudo: Rise of the Duel Masters,s1973,TV Show,Sin Dato,,,2013,TV-Y7,1,"Animation, Kids","Kaijudo is an animated series that follows the adventures of a young hero, Ray, who possesses the ability to befriend and duel alongside fantastical creatures from a parallel dimension. Ray must join the ranks of the mysterious Duel Masters and master the ancient art of Kaijudo to ensure the survival of both races before it is too late.",amazon
Kabukibu!,s1975,TV Show,Sin Dato,,,2017,TV-14,1,"Anime, Comedy, International","Kurogo Kurusu, is a high school student with an almost annoying love of kabuki. The only problem for him is that his school doesn’t have a club for it. He decides to take matters into his own hands and create a kabuki club.",amazon
Kabaneri of the Iron Fortress (Original Japanese Version) (English Subtitled),s1976,TV Show,Sin Dato,,,2016,TV-MA,1,Anime,"The world is overrun with Kabane, zombie-like creatures with an appetite for human flesh. While the last of humanity has retreated into fortress-like stations connected by armored trains, there are few that remain as hopeful as Ikoma.",amazon
Just Add Magic: Mystery City,s1990,TV Show,Sin Dato,"Jolie Hoang-Rappaport, Tyler Sanders, Jenna Qureshi",,2020,ALL,1,"Animation, Kids","In this spinoff of the successful series JUST ADD MAGIC, we follow the magic cookbook to Bay City as it moves to three new protectors: step-siblings Zoe and Leo, and their upstairs neighbor Ish. Each of the three brings a unique skill to the table, as the cookbook unlocks a centuries-old mystery that takes them on an historical adventure through the city streets in a race to find a secret recipe.",amazon
Just Add Magic,s1991,TV Show,Sin Dato,"Tess Paras, Jolie Hoang-Rappaport, Tyler Sanders, Jenna Qureshi, Matthew Dellapina, Zach Callison, Shane Harper, James Urbaniak, Melody Melendez, Cameron Bedford, Bruno Fracassa",,2019,ALL,5,Kids,"The Magic Cookbook has appeared in a new town with new protectors! Kelly, Darbie, and Hannah must now travel to Bay City to train the new trio on how to handle the recipes and the dangerous downsides. What they find is that the new protectors aren't even friends let alone ready to trust and use magic.",amazon
Jungle Queen: 2K Restored Special Edition,s1995,TV Show,Sin Dato,"Clinton Rosemond, Cy Kendall, Napoleon Simpson, Clarence Muse, Tala Birell, Lois Collier, Douglass Dumbrille, Eddie Quillan, Edward Norris, Ruth Roman",,1945,13+,1,Action,"Produced from a new 2K scan of the original 35mm nitrate fine grain film masters! In 13 thrilling chapters, The Queen of the Jungle assists Americans in defeating Nazi terror.",amazon
Julian Fellowes Presents Doctor Thorne,s1996,TV Show,Sin Dato,,,2016,13+,1,Drama,"From the creator of Downton Abbey. Dr. Thorne lives a quiet life with niece Mary in Greshambury, home of the wealthy Gresham family. Unbeknownst to others, the Greshams have lost their fortune and matriarch Lady Arabella has a scheme to regain it via an arranged marriage with her son and an American heiress. However, her son plans to elope with Mary, which complicates Lady Arabella's plans.",amazon
Judith Lucy: Judith Lucy Vs Men,s1997,TV Show,Sin Dato,Judith Lucy,,2020,16+,1,"Comedy, Talk Show and Variety","Judith Lucy is single again. Reflecting on her entire history with men, she concludes that maybe it’s time to shut up shop: ‘Whatever it is that I’m selling, a lot of straight men simply aren’t interested in buying it.’ In this show Jude recounts her full history with the opposite sex and asks the audience to determine whether she should ever date again. Should Judith hang up her vagina for good?",amazon
Johnny Houser VS,s2008,TV Show,Sin Dato,Johnny Houser,,2018,13+,1,"Horror, Unscripted","In the season premiere, Johnny Houser explore The Villisca Axe Murder House in Villisca, Iowa named after the even that took place in June of 1912. The six members of the Moore family and two house guests were found bludgeoned in the Moore residence with all eight victims, including six children, having severe head wounds from an axe.",amazon
Joanna Lumley: Jewel in the Nile,s2017,TV Show,Sin Dato,Joanna Lumley,,2010,16+,1,Documentary,"Joanna Lumley is embarking on the trip of a lifetime; to travel and explore the River Nile, the longest river in the world, from sea to source. Travelling upstream, in the direction of the earliest explorers she will journey along Africa's life line, visiting the people who live and work along this famous river today.",amazon
Jingle Burgers - A Parry Gripp Christmas Album,s2019,TV Show,Sin Dato,Parry Gripp,,2020,ALL,1,"Comedy, Kids",Sing-a-long with these super fun Christmas songs from Parry Gripp!,amazon
